1,411243
2,717866
3,311287
4,179347
5,621147
6,300396
7,678333
8,337007
9,667063
10,957825
11,878802
12,884710
13,177685
14,464712
15,575868
16,103559
17,328917
18,193013
19,697615
20,635814
21,455631
22,807307
23,362858
24,175142
25,802375
26,501755
27,321384
28,752153
29,473763
30,687487
31,459053
32,972211
33,631644
34,417992
35,999596
36,446245
37,681845
38,629924
39,599565
40,418031
41,231530
42,439521
43,864862
44,426729
45,345715
46,467010
47,490715
48,938489
49,321168
50,290156
51,204493
52,771825
53,605422
54,911761
55,602594
56,954595
57,976390
58,413245
59,778246
60,801426
61,172423
62,434043
63,449827
64,484026
65,910709
66,489650
67,790855
68,593976
69,390214
70,175084
71,178013
72,225909
73,497127
74,470380
75,242491
76,830128
77,764210
78,318199
79,954749
80,140623
81,367094
82,640090
83,781514
84,286749
85,420025
86,433657
87,801989
88,742833
89,703269
90,620653
91,838567
92,241167
93,590509
94,978476
95,841460
96,246088
97,885743
98,767709
99,822832
100,667650
101,782355
102,365731
103,280683
104,554595
105,496708
106,200199
107,817897
108,426859
109,266170
110,306715
111,262541
112,164628
113,988493
114,961868
115,851290
116,773681
117,155062
118,698769
119,501954
120,369191
121,438073
122,263059
123,825195
124,874049
125,183923
126,953599
127,905585
128,605112
129,315283
130,106761
131,305563
132,875157
133,733144
134,499048
135,644299
136,296218
137,576743
138,129450
139,875792
140,295290
141,720606
142,196463
143,460355
144,418299
145,271077
146,712500
147,701724
148,223965
149,386497
150,501823
151,709591
152,868495
153,836194
154,201781
155,383626
156,399207
157,706450
158,316146
159,725764
160,739222
161,616099
162,387891
163,644869
164,427683
165,785995
166,758153
167,886100
168,314529
169,261744
170,552919
171,244673
172,711319
173,648071
174,862166
175,872609
176,318622
177,272437
178,501841
179,815872
180,278338
181,888448
182,684978
183,117194
184,597237
185,992027
186,540434
187,862769
188,568984
189,569756
190,692211
191,864297
192,993172
193,800790
194,147992
195,304359
196,980334
197,140437
198,976068
199,861569
200,778043
201,859534
202,475982
203,100338
204,575005
205,888939
206,349033
207,406839
208,632696
209,842902
210,354135
211,831834
212,981436
213,484896
214,970570
215,247322
216,337432
217,916995
218,210920
219,889038
220,559084
221,138687
222,861004
223,453785
224,624356
225,982397
226,667165
227,156647
228,706953
229,835088
230,598164
231,142195
232,381316
233,837753
